Date,ALSO3.SA,ALUP11.SA,AURA33.SA,BABA34.SA,BOVA11.SA,BRML3.SA,BRPR3.SA,COGN3.SA,CSAN3.SA,CYRE3.SA,DIRR3.SA,EGIE3.SA,FESA4.SA,GGBR4.SA,GOAU4.SA,IVVB11.SA,JHSF3.SA,KNRI11.SA,MXRF11.SA,OIBR3.SA,RAIZ4.SA,SULA11.SA,TAEE11.SA,TEND3.SA,TRIS3.SA,TRPL4.SA,VIVT3.SA,XPCI11.SA
2020-08-18,27.739999771118164,23.549999237060547,64.46666717529297,50.89285659790039,98.25,9.75,9.329999923706055,6.960000038146973,21.292499542236328,24.329999923706055,14.680000305175781,43.290000915527344,17.489999771118164,19.489999771118164,8.949999809265137,200.33999633789062,8.5600004196167,158.1999969482422,10.470000267028809,1.5800000429153442,,44.85371398925781,28.34000015258789,31.610000610351562,12.489999771118164,22.100000381469727,50.0,87.27999877929688
2020-08-19,26.850000381469727,23.709999084472656,64.56666564941406,51.64285659790039,97.0,9.5600004196167,9.210000038146973,6.579999923706055,20.739999771118164,23.549999237060547,14.609999656677246,43.029998779296875,17.639999389648438,20.020000457763672,9.15999984741211,202.35000610351562,8.100000381469727,160.10000610351562,10.399999618530273,1.5700000524520874,,42.95627212524414,28.469999313354492,31.5,12.149999618530273,22.09000015258789,49.56999969482422,85.95999908447266
2020-08-20,28.010000228881836,23.709999084472656,65.33333587646484,51.09642791748047,97.66999816894531,9.880000114440918,9.5600004196167,6.570000171661377,20.952499389648438,24.43000030517578,14.949999809265137,42.70000076293945,17.59000015258789,20.270000457763672,9.279999732971191,203.0,8.5600004196167,160.88999938964844,10.489999771118164,1.6100000143051147,,43.27096939086914,28.649999618530273,32.720001220703125,12.890000343322754,21.93000030517578,49.790000915527344,87.4000015258789
2020-08-21,27.729999542236328,24.110000610351562,65.0,53.16178512573242,97.5999984741211,9.829999923706055,9.460000038146973,6.559999942779541,20.84000015258789,24.65999984741211,14.789999961853027,42.70000076293945,17.389999389648438,19.68000030517578,9.039999961853027,207.0,8.229999542236328,164.88999938964844,10.569999694824219,1.7200000286102295,,42.761898040771484,28.31999969482422,33.119998931884766,13.0,21.790000915527344,49.41999816894531,86.9000015258789
2020-08-24,27.6299991607666,23.799999237060547,63.33333206176758,55.379642486572266,98.5,9.800000190734863,9.479999542236328,6.369999885559082,21.34749984741211,24.200000762939453,14.760000228881836,42.7400016784668,17.700000762939453,19.56999969482422,9.020000457763672,207.3000030517578,7.920000076293945,164.58999633789062,10.550000190734863,1.7100000381469727,,42.447200775146484,28.25,32.31999969482422,12.619999885559082,21.8799991607666,50.0,87.02999877929688
2020-08-25,27.6299991607666,23.739999771118164,63.33333206176758,56.92821502685547,98.3499984741211,9.770000457763672,9.470000267028809,6.199999809265137,21.15999984741211,24.100000381469727,14.479999542236328,43.43000030517578,17.93000030517578,19.549999237060547,8.960000038146973,205.38999938964844,7.869999885559082,164.4499969482422,10.449999809265137,1.6799999475479126,,42.16027069091797,28.3700008392334,32.08000183105469,12.699999809265137,21.770000457763672,50.0,87.77999877929688
2020-08-26,26.600000381469727,23.59000015258789,65.0,57.94642639160156,96.62999725341797,9.430000305175781,9.260000228881836,6.059999942779541,20.712499618530273,23.649999618530273,14.40999984741211,43.11000061035156,17.8799991607666,19.540000915527344,8.890000343322754,211.0,7.360000133514404,164.0,10.420000076293945,1.6699999570846558,,41.37352752685547,28.260000228881836,31.170000076293945,12.229999542236328,21.610000610351562,49.29999923706055,86.25
2020-08-27,26.420000076293945,23.360000610351562,64.5,57.14285659790039,96.87000274658203,9.420000076293945,9.279999732971191,6.070000171661377,20.729999542236328,23.559999465942383,14.65999984741211,42.9900016784668,17.719999313354492,19.25,8.789999961853027,210.1999969482422,7.380000114440918,164.5,10.420000076293945,1.600000023841858,,40.83668899536133,28.25,30.969999313354492,12.0,21.280000686645508,49.279998779296875,85.1500015258789
2020-08-28,27.200000762939453,23.700000762939453,65.94999694824219,55.85499954223633,98.30000305175781,9.460000038146973,9.25,6.010000228881836,21.487499237060547,25.299999237060547,15.59000015258789,43.36000061035156,17.709999084472656,19.600000381469727,8.9399995803833,205.1999969482422,7.519999980926514,164.5,10.539999961853027,1.7200000286102295,,41.46608352661133,28.399999618530273,31.690000534057617,12.380000114440918,21.549999237060547,49.689998626708984,86.45999908447266
2020-08-31,26.420000076293945,23.43000030517578,66.0,56.4042854309082,95.69999694824219,9.279999732971191,9.15999984741211,5.699999809265137,20.8125,24.110000610351562,14.90999984741211,42.630001068115234,17.889999389648438,19.09000015258789,8.789999961853027,207.14999389648438,7.110000133514404,164.38999938964844,10.670000076293945,1.7000000476837158,,40.40166473388672,28.270000457763672,30.690000534057617,12.1899995803833,21.43000030517578,48.5,87.0
2020-09-01,27.3799991607666,23.68000030517578,65.5,57.19785690307617,98.3499984741211,9.670000076293945,9.4399995803833,5.949999809265137,20.422500610351562,24.530000686645508,15.460000038146973,43.61000061035156,18.469999313354492,20.0,9.140000343322754,205.0,7.309999942779541,164.97000122070312,10.520000457763672,1.7799999713897705,,40.9014778137207,28.549999237060547,31.110000610351562,12.579999923706055,21.299999237060547,49.18000030517578,86.44999694824219
